GeneID,CH323,CH572,CH300,CH269,CH290,CH150,CH704,CH188B,CH274,CH198,CH315,CH235,CH339,CH308,CH172A,CH188A,CH328,CH727,CH295,CH288,CH722,CH172B
ENST00000638351.KCNMA1.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000251127.NALCN.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000651943.LRBA.22,661.169,752.623,489.364,670.457,661.915,536.334,1394.78,861.468,679.794,721.649,308.956,246.976,320.5,357.658,2297.86,1434.02,376.443,1078.05,976.968,1136.06,1197.67,391.647
ENST00000400908.RERE.5,1038.99,1457.25,749.991,1056.51,2096.92,649.778,3268.89,1339.79,1120.09,1545.2,597.892,307.42,285,855.33,2473.8,1925.05,466.157,1863.34,2297.43,1941.61,2647.85,594.461
ENST00000436010.ROBO1.18,0,0,0,0.0268988,0,0,0,0,0.00912216,0,0,0,0,0,0.00241074,0,0,0,0.00684374,0,0,0.010571
ENST00000585169.FLOT2.79,27.0126,13.5007,17.7562,16.2113,12.2645,12.9756,14.4112,21.9567,13.0159,24.7733,5.5235,23,5.14286,19.2196,83.5681,37.2576,0,44.0053,15.3152,25.5882,39.9664,29.75
ENST00000376142.ABI1.51,0,29.4884,1.17263,0,0.000159021,0.0129552,0.00417118,21.2959,48.3655,34.6107,0,6.88823,0,17.4065,61.6976,0,0,0,35.127,31.8723,54.6571,11.7761
ENST00000470487.GOLIM4.19,20.3048,8.84524,0,45.1235,86.0153,23.1566,36.4566,43.1687,51.0239,59.0391,24.109,0,0,16.4636,30.0229,14.6581,0,46.33,54.51,54.5645,118.602,9.7216
ENST00000370206.CNN3.33,26.8712,39.5776,59.5019,21,20,20,77,19.5595,19.7318,13.1928,17.3931,0,11.6407,0,80,22,41,37.9999,13.05,32.6947,72,6.56067
ENST00000355451.NUDCD3.59,366,601,282,353,539,366,802,487,303,513,277,228,452,388,1560,789,411,706,619,582,624,316
ENST00000372052.NASP.5,0,0,0,1.06E-06,20.6405,0,0,22.4857,0.0060265,14.7584,14.6999,0,0,24.9776,35.5167,35.7624,0,1.40E-06,0,1.79E-07,0,0
ENST00000622513.TTC8.9,3,0,0,6,0,0,0,1,0,6,0,0,2,0,9,5.78005,4,3,3,0,0,3
ENST00000367177.LRRN2.41,2,2,1,3,1,0,2,0,1,0,0,0,0,1,1,0,0,2,0,1,1,0
ENST00000295755.RETNLB.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000526838.EEF1D.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000262435.SMURF2.32,281,322,160,343,593,228,569,428,322,487,121,44,39,187,547,553,75,446,513,424,663,140
ENST00000600147.RPL18A.82,0,0,0,0,0,0,0,0,0,0,0,0,0,6.50109,0,0,0,2.85482,0,0,0,0
ENST00000321394.TCP1.1,260,429,101,206,321,128,685,718,413,302,108,40,22,138,557,1078,89,590,353,509,479,152
ENST00000429261.PLA2G2C.5,0,2,0.5,0.5,1.5,0.5,0.5,0,0.5,0,0.5,2,1,2.5,1,0.5,0.5,0,1,1,1,0
ENST00000642395.RPGR.4,0,7.4235,0,0,0,8,8.82426,0,5.69127,5.85902,0,0,0,0,4.29279,18.4149,3.22844,9.38655,0,9.48468,14.8033,6
ENST00000616623.CRY2.11,0,27.6821,0,27.5864,165.722,0,294.426,164.987,82.9562,72.461,0,0,0,0,130.518,516.361,0,164.268,55.0782,82.5937,96.3601,35
ENST00000623498.SEM1.38,0.460596,5.24292,0,0,6.21485,1.49861,2.61314,0,0,0,0,0,0,0.695449,10.882,0,0,3.81807,3.10355,0,0,2.68708
ENST00000434316.TMCO3.12,133,201,219,115,181,181,227,191,157,184,106,216,220,263,745,262,173,210,168,171,357,154
ENST00000372861.KCNK15.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000433197.ERN1.32,71,184.333,49.1054,91.8101,158.647,67,228.194,79.3004,53.9788,103.401,41.0099,21.5557,0,48.751,300.545,165.149,83,193,126.91,150.326,194.581,75
ENST00000176195.SCT.14,0,2,1,2,6,0,1,6,0,3,1,1,2,2,17,12,2,0,0,2,9,2
ENST00000369949.C1orf194.33,9,6,0,2.41E-07,6,2.58762,0.177887,11.3241,1.78309,5,0,2,2,0,3.08524,0,0,7.37028,3.86518,2.69128,9.83295,0
ENST00000312053.ADGRE1.74,0,66.0581,0,12.9898,21.3986,11.4812,21.1688,56.2434,25.6925,28.6607,10.6476,12.3465,8.95955,0,78.0971,96.8672,13.3874,19.227,18.5197,40.4506,13.8224,22.0453
ENST00000434752.PROB1.15,0,4,0,4,3,0,3,2,3,1,0,0,0,3,14,3,2,1,3,2,9,1
ENST00000355372.ZCCHC10.15,1.01E-08,0,0,3.33798,0,0,4.34149,0,0,0,1.88641,0,0,0,21.0211,0,1.87631,1.71164,0.913426,0,0,0
ENST00000274542.RNF145.15,257,257,102,194,246.17,101,465,365,305,266.72,94,24,34.9925,104.665,564.661,625,28.9769,463,343,355,453,124
ENST00000611905.CCL16.32,1,2,13,3,8,0,4,5,0,1,3,1,0,1,2,1,1,1,0,0,17,1
ENST00000321143.HCCS.4,47,44,18,36,58,33,91,80,54,56,26,7,8,29,101,149,15,71,56,57,101,23
ENST00000482695.LMLN.19,0,12,10.0738,1.95046,0,2.35859,0.124031,0,3.92328,0,8,0,0,0,4.95217,25.1209,0,5.97722,0,0,0,0
ENST00000217425.WFDC2.30,0,0,0,0,1.92378,2.92964,0,0,0,0,0,0,0,0,0.816345,0,0,0,0,0,0,0
ENST00000330689.WDR5B.18,21,23,19,23,30,14,55,56,25,33,15,4,1,10,42,91,4,38,30,48,50,8
ENST00000396801.ZNF384.7,73.0397,49.5239,33.0221,54.1629,67.4473,74.1229,126.509,94.9645,18.1348,75.9318,19.3255,16.5204,0.000595019,97.3718,137.128,82.4143,56.2434,228.24,38.5208,113.436,199.947,23.9383
ENST00000295190.SLC16A14.2,0,2,5,4,3,4,7,3,4,5,0,1,0,2,15,1,0,11,0,1,12,0
ENST00000416721.RBFOX2.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241943,0,0,0
ENST00000473921.HESX1.31,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENST00000379163.ELP4.11,8.70271,0,0,10.6077,4.3583,3.54206,2.3684,21.6819,11.4232,10.9348,4.03963,0,0,6.50111,0,22.3205,0,10.7041,10.8606,0,18.9174,0
ENST00000605932.OXNAD1.20,0,0,0.0345351,0,0,16.4892,23.0728,0,0,0,7.56987,1.5,0,8.91E-07,0,0,0,0,0,34.5129,0,0
ENST00000216214.FAM118A.44,36,42,19,41,69,32,67,57,50,63,23,13,18,46,170,147,23,85,72,71,98,27
ENST00000352203.AP2S1.43,136.276,236.231,177,125.306,154.556,269.485,179.369,262.637,99.739,143.524,103.5,218.689,273.634,204.907,456.514,407.518,295.447,295.81,219.224,196.691,166.5,103.274
ENST00000676792.ACO2.44,0,114.318,65.6084,200.952,0.00536997,0,5.41E-05,0,2.56E-08,0.125986,0,0,0.287547,22.1881,0,0,0,0,3.73914,0.0082891,0.521571,3.96334
ENST00000496811.DHX36.19,226.588,207.587,158,228,463,137.869,512,547,324,360.876,140,67,65.0192,189,575,757,97.5505,433,412,385,572,161
