,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
IFI27,125.39687708973261,2.0888684308744696,0.5061333370038106,4.703309859497072,2.5597748149180346e-06,0.007049621659487802
HBB,88795.27139899372,1.7665078241961354,0.4343055498691058,4.6209190690611415,3.820437978448161e-06,0.007049621659487802
VPS28,1371.724972337681,1.438425044327111,0.36317497663351916,4.543870848081265,5.523050501008932e-06,0.007049621659487802
ST3GAL4,1438.1675380818137,1.323383664558069,0.32936744250892996,4.586491639748778,4.507564440293473e-06,0.007049621659487802
COPS5,371.4672056956862,1.178783376075345,0.2874097783088615,4.658606769194643,3.183566749985461e-06,0.007049621659487802
TSPO2,817.9857533315139,1.6392973839569827,0.4420071603390751,4.337417244516974,1.4416678785222182e-05,0.011627519103118234
TMEM256,179.46637452504052,1.4562220898165,0.3962738868086017,4.308163185186665,1.6461591721166542e-05,0.011627519103118234
CMAS,9117.22320848238,1.424606791540468,0.38881773015230126,4.286917219284028,1.8116976693015368e-05,0.011627519103118234
MED30,339.40073116930307,1.2228796364005519,0.32609606356775866,4.357264701820867,1.316979579710133e-05,0.011627519103118234
MPLKIP,274.2924975357175,1.1706537544550168,0.32009579534859084,4.27319970239274,1.926877344500872e-05,0.011627519103118234
N4BP2L1,329.2551161813649,1.6430205605815371,0.46208956975428156,4.211784545413814,2.5336114376164155e-05,0.012033214503556332
UHRF1,1275.1185503294284,1.4990708615116817,0.4260292787215616,4.172195335115292,3.0167883431040633e-05,0.012033214503556332
ESCO2,1031.314305324907,1.3814692505692592,0.3885477508421791,4.196463340842996,2.711153210350361e-05,0.012033214503556332
HADHB,17599.129916956223,1.3680418338848566,0.3824331502976336,4.191395145395122,2.7724431336302048e-05,0.012033214503556332
C4BPA,227.7406495996484,1.533347073401812,0.4592118955212401,4.032430116162093,5.52030335485273e-05,0.014885099815192756
MGLL,4082.715337464427,1.4583026056203323,0.43205813266984167,4.050162364082887,5.1182108313367355e-05,0.014885099815192756
MACROD1,104.30346098359696,1.441833025618206,0.4294748778903503,4.051786048807351,5.082813448643243e-05,0.014885099815192756
CARHSP1,772.0587118094127,1.381876513254691,0.4174343927081106,3.9982309981098303,6.381765443686686e-05,0.014885099815192756
