"Site1","Site2","Distance_km"
1,2,104.445820454881
1,3,110.682434510535
1,4,95.3824474560575
1,5,171.473325069696
1,6,145.926825248758
1,7,76.2317441556573
1,8,98.7352295443788
1,9,208.601171930449
1,10,97.3040749794825
1,11,187.024608495864
1,12,93.3941947739269
1,13,64.8797855020562
1,14,137.781529750796
1,15,116.324180952981
1,16,172.232030960186
1,17,49.5120829208676
1,18,84.5049601514222
1,19,73.2394019378117
2,3,11.567151395911
2,4,140.831402318275
2,5,165.31782543549
2,6,72.0272740013241
2,7,72.2737139428467
2,8,5.97841968744527
2,9,204.098587836469
2,10,56.744722958335
2,11,91.1512700162924
2,12,186.748586096972
2,13,122.840104506504
2,14,230.914463833669
2,15,55.5681217850197
2,16,70.5084273669485
2,17,152.131920686937
2,18,29.4628199291105
2,19,31.4586452280297
3,4,138.760649687079
3,5,176.507958895899
3,6,79.9267364605476
3,7,69.7984802309242
3,8,16.4384310210251
3,9,215.144796006638
3,10,50.6597820373936
3,11,92.707083445911
3,12,189.45388123756
3,13,123.003356641547
3,14,233.145360476645
3,15,66.0293148825159
3,16,69.5706470255201
3,17,157.180582323437
3,18,29.4996292774284
3,19,37.6632796173778
4,5,262.457139373393
4,6,207.537358464907
4,7,68.9631780482905
4,8,137.879833973853
4,9,300.926671571844
4,10,92.0708624691165
4,11,231.37455773739
4,12,82.6001222266257
4,13,30.5070584940671
4,14,114.025244072992
4,15,181.799579741181
4,16,207.892781859177
4,17,92.5427653808283
4,18,111.38138552682
4,19,117.070732099714
5,6,114.097528315637
5,7,212.680729297873
5,8,162.269881454415
5,9,39.6450825679145
5,10,212.929102363611
5,11,160.229151839
5,12,256.565528610746
5,13,233.094247159115
5,14,296.490499988934
5,15,111.724482328235
5,16,173.033204052964
5,17,206.900972976158
5,18,180.318097720188
5,19,163.514776475499
6,7,141.424508920253
6,8,72.6364377729269
6,9,148.452204832547
6,10,128.730104756573
6,11,53.173876434893
6,12,238.268280881516
6,13,185.038830357026
6,14,283.032364559062
6,15,29.6759489528118
6,16,59.2976722221114
6,17,195.015866683824
6,18,98.8946161698764
6,19,90.4669897437355
7,8,69.8205987501682
7,9,252.266886943065
7,10,27.1030228671933
7,11,162.429782076774
7,12,128.13041430234
7,13,56.2244037774537
7,14,169.405499845016
7,15,118.103795037387
7,16,139.057266271486
7,17,108.279180936426
7,18,43.0599122235323
7,19,52.6382357608844
8,9,201.270044836564
8,10,56.3889236906876
8,11,95.038451968853
8,12,181.878117099056
8,13,118.971404049561
8,14,226.168531672235
8,15,53.9167416004639
8,16,75.3476903187649
8,17,146.638146979073
8,18,26.7644940316678
8,19,26.0503911281797
9,10,252.496816669706
9,11,190.002170020593
9,12,290.528903856862
9,13,271.26950219564
9,14,328.83194589951
9,15,149.676470883045
9,16,205.992142616186
9,17,241.030368959417
9,18,219.843648450371
9,19,203.132421648574
10,11,142.240712770328
10,12,155.227969376311
10,13,82.9752335472084
10,14,196.277807645252
10,15,109.554189173654
10,16,117.170794945628
10,17,133.932190509599
10,18,32.7955505693513
10,19,49.6625615478151
11,12,275.532637530015
11,13,213.950972813012
11,14,320.158470403942
11,15,77.8005785250234
11,16,27.9475615782011
11,17,236.481195025834
11,18,120.448277461359
11,19,119.829390573634
12,13,73.4075932775874
12,14,44.8113137019397
12,15,208.913246070156
12,16,257.21019818036
12,17,49.6645616218426
12,18,160.028650871882
12,19,156.130001209923
13,14,113.311817349491
13,15,157.852363032148
13,16,192.486734244996
13,17,67.75150318769
13,18,93.8795021732505
13,19,95.5063705679566
14,15,253.635326471727
14,16,301.421827250978
14,17,91.4288109818482
14,18,203.651144310003
14,19,200.566209485424
15,16,74.7911334601344
15,17,165.350394192656
15,18,77.5172680366998
15,19,65.6327760221107
16,17,221.083637956674
16,18,98.6477883128733
16,19,101.265684252268
17,18,129.132201227013
17,19,120.673276814207
18,19,18.445348036652
